Name	Egg Group 1	Egg Group 2	Ability 1	Ability 2	Hidden Ability	Male Ratio	Female Ratio	OffspringSpecies
Bulbasaur	Monster	Grass	Overgrow	Chlorophyll	N/A	88.14	11.86	Bulbasaur
Ivysaur	Monster	Grass	Overgrow	Chlorophyll	N/A	88.14	11.86	Bulbasaur
Venusaur	Monster	Grass	Overgrow	Chlorophyll	N/A	88.14	11.86	Bulbasaur
Charmander	Monster	Dragon	Blaze	Solar Power	N/A	88.14	11.86	Charmander
Charmeleon	Monster	Dragon	Blaze	Solar Power	N/A	88.14	11.86	Charmander
Charizard	Monster	Dragon	Blaze	Solar Power	N/A	88.14	11.86	Charmander
Squirtle	Monster	Water 1	Torrent	Rain Dish	N/A	88.14	11.86	Squirtle
Wartortle	Monster	Water 1	Torrent	Rain Dish	N/A	88.14	11.86	Squirtle
Blastoise	Monster	Water 1	Torrent	Rain Dish	N/A	88.14	11.86	Squirtle
Caterpie	Bug	N/A	Shield Dust	Run Away	N/A	50.2	49.8	Caterpie
Metapod	Bug	N/A	Shed Skin	N/A	N/A	50.2	49.8	Caterpie
Butterfree	Bug	N/A	Compoundeyes	Tinted Lens	N/A	50.2	49.8	Caterpie
Weedle	Bug	N/A	Shield Dust	Run Away	N/A	50.2	49.8	Weedle
Kakuna	Bug	N/A	Shed Skin	N/A	N/A	50.2	49.8	Weedle
Beedrill	Bug	N/A	Swarm	Sniper	N/A	50.2	49.8	Weedle
Pidgey	Flying	N/A	Keen Eye	Tangled Feet	Big Pecks	50.2	49.8	Pidgey
Pidgeotto	Flying	N/A	Keen Eye	Tangled Feet	Big Pecks	50.2	49.8	Pidgey
Pidgeot	Flying	N/A	Keen Eye	Tangled Feet	Big Pecks	50.2	49.8	Pidgey
Rattata	Field	N/A	Run Away	Guts	Hustle	50.2	49.8	Rattata
Raticate	Field	N/A	Run Away	Guts	Hustle	50.2	49.8	Rattata
Spearow	Flying	N/A	Keen Eye	Sniper	N/A	50.2	49.8	Spearow
Fearow	Flying	N/A	Keen Eye	Sniper	N/A	50.2	49.8	Spearow
Ekans	Field	Dragon	Intimidate	Shed Skin	Unnerve	50.2	49.8	Ekans
Arbok	Field	Dragon	Intimidate	Shed Skin	Unnerve	50.2	49.8	Ekans
Pikachu	Field	Fairy	Static	Lightning Rod	N/A	50.2	49.8	Pichu
Raichu	Field	Fairy	Static	Lightning Rod	N/A	50.2	49.8	Pichu
Sandshrew	Field	N/A	Sand Veil	Sand Rush	N/A	50.2	49.8	Sandshrew
Sandslash	Field	N/A	Sand Veil	Sand Rush	N/A	50.2	49.8	Sandshrew
Nidoran♀	Monster	Field	Poison Point	Rivalry	Hustle	0	100	Nidoran♀+Nidoran♀
Nidorina	Undiscovered	N/A	Poison Point	Rivalry	Hustle	0	100	N/A
Nidoqueen	Undiscovered	N/A	Poison Point	Rivalry	Sheer Force	0	100	N/A
Nidoran♂	Monster	Field	Poison Point	Rivalry	Hustle	100	0	Nidoran♀+Nidoran♀
Nidorino	Monster	Field	Poison Point	Rivalry	Hustle	100	0	Nidoran♀+Nidoran♀
Nidoking	Monster	Field	Poison Point	Rivalry	Sheer Force	100	0	Nidoran♀+Nidoran♀
Clefairy	Fairy	N/A	Cute Charm	Magic Guard	Friend Guard	24.9	75.1	Cleffa
Clefable	Fairy	N/A	Cute Charm	Magic Guard	Unaware	24.9	75.1	Cleffa
Vulpix	Field	N/A	Flash Fire	Drought	N/A	24.9	75.1	Vulpix
Ninetales	Field	N/A	Flash Fire	Drought	N/A	24.9	75.1	Vulpix
Jigglypuff	Fairy	N/A	Cute Charm	Competitive	Friend Guard	24.9	75.1	Igglybuff
Wigglytuff	Fairy	N/A	Cute Charm	Competitive	Frisk	24.9	75.1	Igglybuff
Zubat	Flying	N/A	Inner Focus	Infiltrator	N/A	50.2	49.8	Zubat
Golbat	Flying	N/A	Inner Focus	Infiltrator	N/A	50.2	49.8	Zubat
Oddish	Grass	N/A	Chlorophyll	Run Away	N/A	50.2	49.8	Oddish
Gloom	Grass	N/A	Chlorophyll	Stench	N/A	50.2	49.8	Oddish
Vileplume	Grass	N/A	Chlorophyll	Effect Spore	N/A	50.2	49.8	Oddish
Paras	Bug	Grass	Effect Spore	Dry Skin	Damp	50.2	49.8	Paras
Parasect	Bug	Grass	Effect Spore	Dry Skin	Damp	50.2	49.8	Paras
Venonat	Bug	N/A	Compoundeyes	Tinted Lens	Run Away	50.2	49.8	Venonat
Venomoth	Bug	N/A	Shield Dust	Tinted Lens	Wonder Skin	50.2	49.8	Venonat
Diglett	Field	N/A	Sand Veil	Arena Trap	Sand Force	50.2	49.8	Diglett
Dugtrio	Field	N/A	Sand Veil	Arena Trap	Sand Force	50.2	49.8	Diglett
Meowth	Field	N/A	Pickup	Technician	Unnerve	50.2	49.8	Meowth
Persian	Field	N/A	Limber	Technician	Unnerve	50.2	49.8	Meowth
Psyduck	Water 1	Field	Damp	Cloud Nine	Swift Swim	50.2	49.8	Psyduck
Golduck	Water 1	Field	Damp	Cloud Nine	Swift Swim	50.2	49.8	Psyduck
Mankey	Field	N/A	Vital Spirit	Anger Point	Defiant	50.2	49.8	Mankey
Primeape	Field	N/A	Vital Spirit	Anger Point	Defiant	50.2	49.8	Mankey
Growlithe	Field	N/A	Intimidate	Flash Fire	Justified	75.49	24.51	Growlithe
