Name	Egg Group 1	Egg Group 2	Ability 1	Ability 2	Hidden Ability	Male Ratio	Female Ratio
Bulbasaur	Monster	Grass	Overgrow	Chlorophyll	N/A	88.14	11.86
Ivysaur	Monster	Grass	Overgrow	Chlorophyll	N/A	88.14	11.86
Venusaur	Monster	Grass	Overgrow	Chlorophyll	N/A	88.14	11.86
Charmander	Monster	Dragon	Blaze	Solar Power	N/A	88.14	11.86
Charmeleon	Monster	Dragon	Blaze	Solar Power	N/A	88.14	11.86
Charizard	Monster	Dragon	Blaze	Solar Power	N/A	88.14	11.86
Squirtle	Monster	Water 1	Torrent	Rain Dish	N/A	88.14	11.86
Wartortle	Monster	Water 1	Torrent	Rain Dish	N/A	88.14	11.86
Blastoise	Monster	Water 1	Torrent	Rain Dish	N/A	88.14	11.86
Caterpie	Bug	N/A	Shield Dust	Run Away	N/A	50.2	49.8
Metapod	Bug	N/A	Shed Skin	N/A	N/A	50.2	49.8
Butterfree	Bug	N/A	Compoundeyes	Tinted Lens	N/A	50.2	49.8
Weedle	Bug	N/A	Shield Dust	Run Away	N/A	50.2	49.8
Kakuna	Bug	N/A	Shed Skin	N/A	N/A	50.2	49.8
Beedrill	Bug	N/A	Swarm	Sniper	N/A	50.2	49.8
Pidgey	Flying	N/A	Keen Eye	Tangled Feet	Big Pecks	50.2	49.8
Pidgeotto	Flying	N/A	Keen Eye	Tangled Feet	Big Pecks	50.2	49.8
Pidgeot	Flying	N/A	Keen Eye	Tangled Feet	Big Pecks	50.2	49.8
Rattata	Field	N/A	Run Away	Guts	Hustle	50.2	49.8
Raticate	Field	N/A	Run Away	Guts	Hustle	50.2	49.8
Spearow	Flying	N/A	Keen Eye	Sniper	N/A	50.2	49.8
Fearow	Flying	N/A	Keen Eye	Sniper	N/A	50.2	49.8
Ekans	Field	Dragon	Intimidate	Shed Skin	Unnerve	50.2	49.8
Arbok	Field	Dragon	Intimidate	Shed Skin	Unnerve	50.2	49.8
Pikachu	Field	Fairy	Static	Lightning Rod	N/A	50.2	49.8
Raichu	Field	Fairy	Static	Lightning Rod	N/A	50.2	49.8
Sandshrew	Field	N/A	Sand Veil	Sand Rush	N/A	50.2	49.8
Sandslash	Field	N/A	Sand Veil	Sand Rush	N/A	50.2	49.8
Nidoran♀	Monster	Field	Poison Point	Rivalry	Hustle	0	100
Nidorina	Undiscovered	N/A	Poison Point	Rivalry	Hustle	0	100
Nidoqueen	Undiscovered	N/A	Poison Point	Rivalry	Sheer Force	0	100
Nidoran♂	Monster	Field	Poison Point	Rivalry	Hustle	100	0
Nidorino	Monster	Field	Poison Point	Rivalry	Hustle	100	0
Nidoking	Monster	Field	Poison Point	Rivalry	Sheer Force	100	0
Clefairy	Fairy	N/A	Cute Charm	Magic Guard	Friend Guard	24.9	75.1
Clefable	Fairy	N/A	Cute Charm	Magic Guard	Unaware	24.9	75.1
Vulpix	Field	N/A	Flash Fire	Drought	N/A	24.9	75.1
Ninetales	Field	N/A	Flash Fire	Drought	N/A	24.9	75.1
Jigglypuff	Fairy	N/A	Cute Charm	Competitive	Friend Guard	24.9	75.1
Wigglytuff	Fairy	N/A	Cute Charm	Competitive	Frisk	24.9	75.1
Zubat	Flying	N/A	Inner Focus	Infiltrator	N/A	50.2	49.8
Golbat	Flying	N/A	Inner Focus	Infiltrator	N/A	50.2	49.8
Oddish	Grass	N/A	Chlorophyll	Run Away	N/A	50.2	49.8
Gloom	Grass	N/A	Chlorophyll	Stench	N/A	50.2	49.8
Vileplume	Grass	N/A	Chlorophyll	Effect Spore	N/A	50.2	49.8
Paras	Bug	Grass	Effect Spore	Dry Skin	Damp	50.2	49.8
Parasect	Bug	Grass	Effect Spore	Dry Skin	Damp	50.2	49.8
Venonat	Bug	N/A	Compoundeyes	Tinted Lens	Run Away	50.2	49.8
Venomoth	Bug	N/A	Shield Dust	Tinted Lens	Wonder Skin	50.2	49.8
Diglett	Field	N/A	Sand Veil	Arena Trap	Sand Force	50.2	49.8
Dugtrio	Field	N/A	Sand Veil	Arena Trap	Sand Force	50.2	49.8
Meowth	Field	N/A	Pickup	Technician	Unnerve	50.2	49.8
Persian	Field	N/A	Limber	Technician	Unnerve	50.2	49.8
Psyduck	Water 1	Field	Damp	Cloud Nine	Swift Swim	50.2	49.8
Golduck	Water 1	Field	Damp	Cloud Nine	Swift Swim	50.2	49.8
Mankey	Field	N/A	Vital Spirit	Anger Point	Defiant	50.2	49.8
Primeape	Field	N/A	Vital Spirit	Anger Point	Defiant	50.2	49.8
Growlithe	Field	N/A	Intimidate	Flash Fire	Justified	75.49	24.51
Arcanine	Field	N/A	Intimidate	Flash Fire	Justified	75.49	24.51
Poliwag	Water 1	N/A	Water Absorb	Damp	Swift Swim	50.2	49.8
Poliwhirl	Water 1	N/A	Water Absorb	Damp	Swift Swim	50.2	49.8
Poliwrath	Water 1	N/A	Water Absorb	Damp	Swift Swim	50.2	49.8
Abra	Human-Like	N/A	Synchronize	Inner Focus	Magic Guard	75.49	24.51
Kadabra	Human-Like	N/A	Synchronize	Inner Focus	Magic Guard	75.49	24.51
Alakazam	Human-Like	N/A	Synchronize	Inner Focus	Magic Guard	75.49	24.51
Machop	Human-Like	N/A	Guts	No Guard	Steadfast	75.49	24.51
Machoke	Human-Like	N/A	Guts	No Guard	Steadfast	75.49	24.51
Machamp	Human-Like	N/A	Guts	No Guard	Steadfast	75.49	24.51
Bellsprout	Grass	N/A	Chlorophyll	Gluttony	N/A	50.2	49.8
Weepinbell	Grass	N/A	Chlorophyll	Gluttony	N/A	50.2	49.8
Victreebel	Grass	N/A	Chlorophyll	Gluttony	N/A	50.2	49.8
Tentacool	Water 3	N/A	Clear Body	Liquid Ooze	Rain Dish	50.2	49.8
Tentacruel	Water 3	N/A	Clear Body	Liquid Ooze	Rain Dish	50.2	49.8
Geodude	Mineral	N/A	Rock Head	Sturdy	Sand Veil	50.2	49.8
Graveler	Mineral	N/A	Rock Head	Sturdy	Sand Veil	50.2	49.8
Golem	Mineral	N/A	Rock Head	Sturdy	Sand Veil	50.2	49.8
Ponyta	Field	N/A	Run Away	Flash Fire	Flame Body	50.2	49.8
Rapidash	Field	N/A	Run Away	Flash Fire	Flame Body	50.2	49.8
Slowpoke	Monster	Water 1	Oblivious	Own Tempo	Regenerator	50.2	49.8
Slowbro	Monster	Water 1	Oblivious	Own Tempo	Regenerator	50.2	49.8
Magnemite	Mineral	N/A	Magnet Pull	Sturdy	Analytic	0	0
Magneton	Mineral	N/A	Magnet Pull	Sturdy	Analytic	0	0
Farfetch'd	Flying	Field	Keen Eye	Inner Focus	Defiant	50.2	49.8
Doduo	Flying	N/A	Run Away	Early Bird	Tangled Feet	50.2	49.8
Dodrio	Flying	N/A	Run Away	Early Bird	Tangled Feet	50.2	49.8
Seel	Water 1	Field	Thick Fat	Hydration	Ice Body	50.2	49.8
Dewgong	Water 1	Field	Thick Fat	Hydration	Ice Body	50.2	49.8
Grimer	Amorphous	N/A	Stench	Sticky Hold	Poison Touch	50.2	49.8
Muk	Amorphous	N/A	Stench	Sticky Hold	Poison Touch	50.2	49.8
Shellder	Water 3	N/A	Shell Armor	Skill Link	Overcoat	50.2	49.8
Cloyster	Water 3	N/A	Shell Armor	Skill Link	Overcoat	50.2	49.8
Gastly	Amorphous	N/A	Levitate	N/A	N/A	50.2	49.8
Haunter	Amorphous	N/A	Levitate	N/A	N/A	50.2	49.8
Gengar	Amorphous	N/A	Cursed Body	N/A	N/A	50.2	49.8
Onix	Mineral	N/A	Rock Head	Sturdy	Weak Armor	50.2	49.8
Drowzee	Human-Like	N/A	Insomnia	Forewarn	Inner Focus	50.2	49.8
Hypno	Human-Like	N/A	Insomnia	Forewarn	Inner Focus	50.2	49.8
Krabby	Water 3	N/A	Hyper Cutter	Shell Armor	Sheer Force	50.2	49.8
Kingler	Water 3	N/A	Hyper Cutter	Shell Armor	Sheer Force	50.2	49.8
Voltorb	Mineral	N/A	Soundproof	Static	Aftermath	0	0
Electrode	Mineral	N/A	Soundproof	Static	Aftermath	0	0
Exeggcute	Grass	N/A	Chlorophyll	Harvest	N/A	50.2	49.8
Exeggutor	Grass	N/A	Chlorophyll	Harvest	N/A	50.2	49.8
Cubone	Monster	N/A	Rock Head	Lightning Rod	Battle Armor	50.2	49.8
Marowak	Monster	N/A	Rock Head	Lightning Rod	Battle Armor	50.2	49.8
Hitmonlee	Human-Like	N/A	Limber	Reckless	Unburden	100	0
Hitmonchan	Human-Like	N/A	Keen Eye	Iron Fist	Inner Focus	100	0
Lickitung	Monster	N/A	Own Tempo	Oblivious	Cloud Nine	50.2	49.8
Koffing	Amorphous	N/A	Levitate	Neutralizing Gas	Stench	50.2	49.8
Weezing	Amorphous	N/A	Levitate	Neutralizing Gas	Stench	50.2	49.8
Rhyhorn	Monster	Field	Lightning Rod	Rock Head	Reckless	50.2	49.8
Rhydon	Monster	Field	Lightning Rod	Rock Head	Reckless	50.2	49.8
Chansey	Fairy	N/A	Natural Cure	Serene Grace	Healer	0	100
Tangela	Grass	N/A	Chlorophyll	Leaf Guard	Regenerator	50.2	49.8
Kangaskhan	Monster	N/A	Early Bird	Scrappy	Inner Focus	0	100
Horsea	Water 1	Dragon	Swift Swim	Sniper	Damp	50.2	49.8
Seadra	Water 1	Dragon	Poison Point	Sniper	Damp	50.2	49.8
Goldeen	Water 2	N/A	Swift Swim	Water Veil	Lightning Rod	50.2	49.8
Seaking	Water 2	N/A	Swift Swim	Water Veil	Lightning Rod	50.2	49.8
Staryu	Water 3	N/A	Illuminate	Natural Cure	Analytic	0	0
Starmie	Water 3	N/A	Illuminate	Natural Cure	Analytic	0	0
Mr. Mime	Human-Like	N/A	Soundproof	Filter	Technician	50.2	49.8
Scyther	Bug	N/A	Swarm	Technician	Steadfast	50.2	49.8
Jynx	Human-Like	N/A	Oblivious	Forewarn	Dry Skin	0	100
Electabuzz	Human-Like	N/A	Static	Vital Spirit	N/A	75.49	24.51
Magmar	Human-Like	N/A	Flame Body	Vital Spirit	N/A	75.49	24.51
Pinsir	Bug	N/A	Hyper Cutter	Mold Breaker	Moxie	50.2	49.8
Tauros	Field	N/A	Intimidate	Anger Point	Sheer Force	100	0
Magikarp	Water 2	Dragon	Swift Swim	Rattled	N/A	50.2	49.8
Gyarados	Water 2	Dragon	Intimidate	Moxie	N/A	50.2	49.8
Lapras	Monster	Water 1	Water Absorb	Shell Armor	Hydration	50.2	49.8
Ditto	Ditto	N/A	Limber	Imposter	N/A	0	0
Eevee	Field	N/A	Run Away	Adaptability	Anticipation	88.14	11.86
Vaporeon	Field	N/A	Water Absorb	Hydration	N/A	88.14	11.86
Jolteon	Field	N/A	Volt Absorb	Quick Feet	N/A	88.14	11.86
Flareon	Field	N/A	Flash Fire	Guts	N/A	88.14	11.86
Porygon	Mineral	N/A	Trace	Download	Analytic	0	0
Omanyte	Water 1	Water 3	Swift Swim	Shell Armor	Weak Armor	88.14	11.86
Omastar	Water 1	Water 3	Swift Swim	Shell Armor	Weak Armor	88.14	11.86
Kabuto	Water 1	Water 3	Swift Swim	Battle Armor	Weak Armor	88.14	11.86
Kabutops	Water 1	Water 3	Swift Swim	Battle Armor	Weak Armor	88.14	11.86
Aerodactyl	Flying	N/A	Rock Head	Pressure	Unnerve	88.14	11.86
Snorlax	Monster	N/A	Immunity	Thick Fat	Gluttony	88.14	11.86
Articuno	Undiscovered	N/A	Pressure	Snow Cloak	N/A	0	0
Zapdos	Undiscovered	N/A	Pressure	Static	N/A	0	0
Moltres	Undiscovered	N/A	Pressure	Flame Body	N/A	0	0
Dratini	Water 1	Dragon	Shed Skin	Marvel Scale	N/A	50.2	49.8
Dragonair	Water 1	Dragon	Shed Skin	Marvel Scale	N/A	50.2	49.8
Dragonite	Water 1	Dragon	Inner Focus	Multiscale	N/A	50.2	49.8
Mewtwo	Undiscovered	N/A	Pressure	Unnerve	N/A	0	0
Mew	Undiscovered	N/A	Synchronize	N/A	N/A	0	0
Chikorita	Monster	Grass	Overgrow	Leaf Guard	N/A	88.14	11.86
Bayleef	Monster	Grass	Overgrow	Leaf Guard	N/A	88.14	11.86
Meganium	Monster	Grass	Overgrow	Leaf Guard	N/A	88.14	11.86
Cyndaquil	Field	N/A	Blaze	Flash Fire	N/A	88.14	11.86
Quilava	Field	N/A	Blaze	Flash Fire	N/A	88.14	11.86
Typhlosion	Field	N/A	Blaze	Flash Fire	N/A	88.14	11.86
Totodile	Monster	Water 1	Torrent	Sheer Force	N/A	88.14	11.86
Croconaw	Monster	Water 1	Torrent	Sheer Force	N/A	88.14	11.86
Feraligatr	Monster	Water 1	Torrent	Sheer Force	N/A	88.14	11.86
Sentret	Field	N/A	Run Away	Keen Eye	Frisk	50.2	49.8
Furret	Field	N/A	Run Away	Keen Eye	Frisk	50.2	49.8
Hoothoot	Flying	N/A	Insomnia	Keen Eye	Tinted Lens	50.2	49.8
